index_symbol,industry_name,code
CI005001.INDX,石油石化,10
CI005002.INDX,煤炭,11
CI005003.INDX,有色金属,12
CI005004.INDX,电力及公用事业,20
CI005005.INDX,钢铁,21
CI005006.INDX,基础化工,22
CI005007.INDX,建筑,23
CI005008.INDX,建材,24
CI005009.INDX,轻工制造,25
CI005010.INDX,机械,26
CI005011.INDX,电力设备及新能源,27
CI005012.INDX,国防军工,28
CI005013.INDX,汽车,30
CI005014.INDX,商贸零售,31
CI005015.INDX,消费者服务,32
CI005016.INDX,家电,33
CI005017.INDX,纺织服装,34
CI005018.INDX,医药,35
CI005019.INDX,食品饮料,36
CI005020.INDX,农林牧渔,37
CI005021.INDX,银行,40
CI005022.INDX,非银行金融,41
CI005023.INDX,房地产,42
CI005024.INDX,交通运输,50
CI005025.INDX,电子,60
CI005026.INDX,通信,61
CI005027.INDX,计算机,62
CI005028.INDX,传媒,63
CI005029.INDX,综合,70
CI005030.INDX,综合金融,43